fiscal_year,jurisdiction,jurisdiction_type,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2015,Delaware,state,640,586,54,38,28,10,41,17,24,9,1093390.28,100000.67,,993389.61,0,1893364,2023509108,16
2015,District of Columbia,district,153,147,6,11,11,0,30,29,1,10,1991288.02,284396.40,,1519391.62,187500,2792615.24,2520735076,21
2015,Florida,state,568,531,37,99,75,24,77,54,23,26,57665128.62,26004716.94,,10078139.89,21582271.79,16910095.30,21909678011,160
2015,Georgia,state,456,445,11,22,21,1,12,12,0,27,16316307.76,2221651.75,,8104273.58,5990382.43,4804982.44,10245084441,42
2015,Hawaii,state,64,21,43,3,2,1,6,4,2,10,2385140.31,38143,,2291997.31,55000,1317826.87,2076761775,14
2015,Idaho,state,108,98,10,4,4,0,4,3,1,11,796796.34,118214.03,,321457.31,357125,873359.08,1819959694,9
2015,Illinois,state,298,248,50,53,41,12,55,42,13,22,16902136.39,694270.69,,6584321.44,9623544.26,7622226.52,17963860929,41
2015,Indiana,state,1606,1216,390,48,47,1,44,38,6,22,28192406.62,2825349.21,,2603929.27,22763128.14,5916915.29,9721569345,60
2015,Iowa,state,291,270,21,58,37,21,53,33,20,11,10799277.81,223804.81,,650788.42,9924684.58,1074819,4672288367,10
2015,Kansas,state,112,104,8,6,6,0,17,15,2,10,4596228.24,783891.08,,99518.23,3712818.93,1192686.80,3193745137,13
2015,Kentucky,state,117,72,45,22,9,13,13,3,10,14,2904550.93,274861.68,,2511192.56,118496.69,3393619.19,9666336070,29
2015,Louisiana,state,426,356,70,91,84,7,73,66,7,25,17905243,5072526,,8586459,4246258,5263527.13,8152272103,50
2015,Maine,state,61,50,11,4,0,4,8,4,4,7,1203259.28,425841.48,,777417.80,0,764428.85,2620426632,7
2015,Maryland,state,353,319,34,12,8,4,10,8,2,10,4463044,2690086.78,,526034.61,1246922.61,3697013.76,9881703513,30
2015,Massachusetts,state,502,444,58,4,3,1,10,9,1,21,17572910.47,9540716,,1558979.12,6473215.35,5364610,16164091522,45
2015,Michigan,state,526,480,46,22,13,9,30,23,7,16,6345522.67,882447.09,,4987243.58,475832,5630862.10,16561360132,32
2015,Minnesota,state,419,417,2,24,22,2,19,17,2,13,1985577.03,619153.81,,1268023.22,98400,1765978.98,11294848324,19
2015,Mississippi,state,594,85,509,72,6,66,60,5,55,18,14838348.02,11571159.27,,2393746.91,873441.84,3473671,5313720236,35
2015,Missouri,state,177,162,15,11,7,4,15,13,2,29,12092209.55,726643.99,,2647957.10,8717608.46,2345934.40,9868941095,23
2015,Montana,state,31,24,7,6,5,1,7,5,2,6,220966.22,151973.76,,68992.46,0,825258.59,1208709907,7
2015,Nebraska,state,125,97,28,10,8,2,12,6,6,7,671714.86,124230.55,,482891.25,64593.06,894436.73,1973545225,9
2015,Nevada,state,65,61,4,14,14,0,13,13,0,7,5344240.46,3387397.20,,256843.26,1700000,1932570.96,3265706343,19
2015,New Hampshire,state,37,26,11,4,0,4,0,0,0,13,486834.66,5610,,301247.25,179977.41,780463.81,1840725765,8
2015,New Jersey,state,422,397,25,27,24,3,18,12,6,14,3192822.18,711783.13,,2481039.05,0,3867591.01,14829609984,28
2015,New Mexico,state,203,199,4,12,12,0,7,7,0,12,351475.20,57242.20,,213531.91,80701.09,2124374.36,5083042074,19
2015,New York,state,798,652,146,115,72,43,110,57,53,65,63347458.37,2887003.20,,8027330.92,52433124.25,47301283,59681117761,281
2015,North Carolina,state,406,397,9,16,13,3,18,14,4,20,23127932.77,8172450.54,,1536509.56,13418972.67,5350038.33,13878014268,49
2015,Ohio,state,1418,986,432,175,139,36,160,133,27,17,18739231.85,12562704.35,,5797799.97,378727.53,10109229.24,22283505297,94
2015,Oklahoma,state,263,197,66,41,21,20,32,17,15,10,7051061.99,1035280.06,,815781.93,5200000,2481047,4948050867,24
2015,Oregon,state,64,58,6,39,30,9,39,30,9,8,597387.18,188867.17,,408520.01,0,2220932.62,8568555342,15
2015,Pennsylvania,state,474,446,28,118,114,4,95,93,2,8,11702515.05,7579540.42,,4122974.63,0,6106399.73,24099877747,46
2015,Rhode Island,state,42,28,14,14,5,9,10,7,3,24,535729.18,9739.35,,101554.13,424435.70,1204591.75,2729259438,12
2015,South Carolina,state,216,172,44,17,11,6,18,15,3,9,2691882.93,408045.29,,2278898.64,4939,1659501.09,6027888585,15
2015,South Dakota,state,68,68,0,2,2,0,2,2,0,19,189827.45,27680.22,,75100.34,87046.89,423692,860846154,5
2015,Tennessee,state,264,222,42,23,10,13,21,9,12,18,39972847.64,167308.70,,4048551.38,35756987.56,4478991.64,9506550239,36
2015,Texas,state,1356,1210,146,123,117,6,85,68,17,10,210086663,206617090.64,,3437583.92,31988.44,17634003.37,36147676703,161
2015,Utah,state,138,118,20,4,1,3,5,2,3,26,6229191,194300,,409891,5625000,1873604.23,2300014634,13
2015,Vermont,state,81,70,11,9,9,0,8,7,1,4,213572,69453,,50609,93510,858283.45,1666066978,7
2015,Virginia,state,384,378,6,60,53,7,59,52,7,21,11377867.93,6338686.14,,4703483.47,335698.32,11091981.55,8510779754,100
2015,Washington,state,186,179,7,16,13,3,15,11,4,13,5979072.66,162700.60,,2151942.36,3664429.70,4159243,11074882616,35
2015,West Virginia,state,147,128,19,8,6,2,9,6,3,16,2357065.10,17931.56,,614306.70,1724826.84,1417821.41,3835749849,18
