fiscal_year,jurisdiction,jurisdiction_type,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2021,Idaho,state,179,177,2,7,7,0,7,7,0,4,724021.72,29617.92,,694403.80,0,914381.59,3007621707,9
2021,Illinois,state,502,453,49,49,38,11,28,20,8,11,12317688.97,3425819.74,,8417014.76,474854.47,9404958.18,27950531219,49
2021,Indiana,state,924,786,138,66,60,6,61,57,4,18,9773660.10,1762048.61,,7087135.83,924475.66,7603299.59,16079130856,59
2021,Iowa,state,294,259,35,32,16,16,20,12,8,9,1765090.31,602570.07,,940520.24,222000,852995.29,6071314469,8
2021,Kansas,state,275,199,76,6,3,3,6,3,3,7,2492985.06,20591.10,,2472393.96,0,2357175.88,4281483229,15
2021,Kentucky,state,233,205,28,18,16,2,28,22,6,14,20549679.41,2454139.23,,13084863.53,5010676.65,4026385.72,14803544906,32
2021,Louisiana,state,521,372,149,72,42,30,41,29,12,12,17043496.62,1001905.52,,5348939.55,10692651.55,8465911.62,13647030555,64
2021,Maine,state,58,43,15,4,2,2,9,3,6,6,4099341.75,2863403.72,,1235938.03,0,1227463.29,3505096838,9
2021,Maryland,state,362,331,31,12,7,5,5,3,2,15,16543233.82,1034672.23,,14801289.92,707271.67,4702440.15,13947928487,33
2021,Massachusetts,state,615,581,34,13,11,2,5,3,2,18,33173697.77,1198132.35,,9721631.29,22253934.13,6082329.14,21064079886,39
2021,Michigan,state,484,438,46,13,7,6,10,4,6,24,10698548.66,337868.55,,8936769.60,1423910.51,6014701,21340831168,30
2021,Minnesota,state,261,249,12,64,63,1,43,41,2,13,9150811.45,3212703.23,,5874960.30,63147.92,3478390.34,15590649664,27
2021,Mississippi,state,600,118,482,104,2,102,94,5,89,12,5829451.72,4296272.66,,1501708.38,31470.68,3477579,5923387274,35
2021,Missouri,state,268,226,42,27,25,2,12,7,5,17,4255232.92,313537.42,,1752925.28,2188770.22,2506866.56,11871935492,22
2021,Montana,state,82,72,10,12,9,3,10,10,0,8,813510,216961.64,,476548.36,120000,871803.71,2263516359,9
2021,Nebraska,state,84,63,21,8,6,2,5,2,3,10,1695220.24,27164.97,,1120691.87,547363.40,1269594.72,3254919749,11
2021,Nevada,state,318,311,7,21,21,0,19,18,1,13,3347791.44,1894709.85,,1187178.48,265903.11,2532485.28,4931364852,17
2021,New Hampshire,state,41,36,5,4,2,2,4,4,0,5,2041287.53,1042596.28,,998691.25,0,751409.31,2497803826,7
2021,New Jersey,state,228,171,57,6,5,1,7,5,2,13,11942472.99,115278.20,,11698042.49,129152.30,4385099.71,19957238404,31
2021,New Mexico,state,248,239,9,3,3,0,11,11,0,12,8565047.58,485891.39,,7142487.11,936669.08,3143071.80,7155993020,24
2021,New York,state,821,653,168,10,6,4,12,9,3,49,77077498.39,483803.76,,49964870.18,26628824.45,50917579.56,73267974087,254
2021,North Carolina,state,366,360,6,11,10,1,15,14,1,35,120331089.25,52760513.54,,15872544.69,51698031.02,6701349.20,17700091176,47
2021,North Dakota,state,60,40,20,4,2,2,0,0,0,3,133734.32,0,,133734.32,0,668514.74,1476249310,6
2021,Ohio,state,1058,747,311,197,136,61,156,115,41,37,39905701.98,5873600.26,,33790821.29,241280.43,14171846.63,28426566254,105
2021,Oklahoma,state,294,215,79,32,11,21,17,8,9,12,2813307.41,878297.28,,1920138.15,14871.98,2260561.48,5557090896,22
2021,Oregon,state,74,65,9,5,4,1,6,5,1,13,8901369.40,162432.51,,3583502.18,5155434.71,3004276.22,11744178139,15
2021,Pennsylvania,state,569,512,57,115,112,3,98,94,4,10,33583686.18,4993862.44,,28589823.74,0,10289239.05,38236422291,72
2021,Puerto Rico,territory,51,35,16,12,6,6,2,2,0,4,497203.94,7793,,3936.08,485474.86,938094.54,3221483398,15
2021,Rhode Island,state,122,101,21,4,2,2,1,1,0,10,3152410.89,105106.35,,2816675.78,230628.76,1263015.25,3177656762,10
2021,South Carolina,state,221,136,85,13,0,13,6,4,2,12,8180240.09,3719802.84,,2874660.10,1585777.15,1649132.81,7401541544,17
2021,South Dakota,state,65,62,3,3,1,2,2,1,1,9,745993.93,4893.83,,161291.08,579809.02,480627.61,1059995110,5
2021,Tennessee,state,232,188,44,21,13,8,17,14,3,15,184558619.82,11786094.60,,9294265.32,163478259.90,8021980.31,11865100334,59
2021,Texas,state,1532,1390,142,78,64,14,53,48,5,13,394766168.51,374092513.71,,20671550.47,2104.33,21103472.18,46867347267,156
2021,U.S. Virgin Islands,territory,5,4,1,2,2,0,0,0,0,0,0,0,,0,0,473356.66,111364237,4
2021,Utah,state,126,84,42,16,6,10,15,4,11,13,26924827.08,35416.59,,1764170.17,25125240.32,2531436,3692743490,16
2021,Vermont,state,60,33,27,4,1,3,6,6,0,5,5000137,53613,,4794642,151882,1150721.88,1831974331,9
2021,Virginia,state,336,334,2,28,25,3,31,28,3,16,444355438.04,339952040.92,,101444141.23,2959255.89,12551368.37,12014392116,90
2021,Washington,state,471,414,57,8,5,3,6,4,2,16,3330927.38,118032.69,,3051844.69,161050,8250587.80,17816241636,48
2021,West Virginia,state,192,179,13,19,16,3,13,12,1,9,6311511.70,44472.69,,5964930.65,302108.36,1624206.76,4804270561,19
2021,Wisconsin,state,184,171,13,12,8,4,0,0,0,12,8280538,0,,7440457,840081,1487023.40,10809161768,12
2021,Wyoming,state,49,46,3,1,1,0,2,2,0,6,1902142.70,104498,,259644.70,1538000,396986.46,669526264,4
2022,Alabama,state,42,35,7,2,1,1,3,1,2,4,2268562.67,56720.74,,2211841.93,0,1555296.99,7406975790,9
2022,Alaska,state,181,158,23,0,0,0,2,2,0,3,87898.32,16256,,71642.32,0,1830614.14,2592461510,12
2022,Arizona,state,141,119,22,31,29,2,52,46,6,3,7727116.33,1180944.25,,6546172.08,0,4222034.03,20588622069,27
2022,Arkansas,state,214,155,59,51,29,22,33,15,18,18,42554066.21,919503.25,,252963.82,41381599.14,3378171,8975474497,22
2022,California,state,1327,842,485,66,49,17,66,42,24,19,108517300.61,53635715.04,,26965026.14,27916559.43,54820182.75,125017780154,220
2022,Colorado,state,435,405,30,3,2,1,11,3,8,8,5940578.60,224838.80,,5382348,333391.80,2626018.05,12424415086,14
2022,Connecticut,state,156,153,3,3,3,0,5,5,0,13,27513822.65,17002.48,,5017571.94,22479248.23,2573386.26,10025149152,12
2022,Delaware,state,292,247,45,17,5,12,19,5,14,3,1231771.69,181756.17,,930287.90,119727.62,2365514.48,3239518726,17
2022,District of Columbia,district,86,50,36,5,4,1,6,4,2,5,7713628.78,2583984.20,,1284815.43,3844829.15,2974886.98,3930666278,21
2022,Florida,state,669,600,69,56,40,16,66,43,23,13,88334626.60,63451212.57,,15825546.86,9057867.17,20289973.99,33273631634,142
2022,Georgia,state,553,537,16,2,1,1,7,5,2,17,14632971.56,1161623.48,,40438.36,13430909.72,5566817.36,14876090399,43
2022,Hawaii,state,685,631,54,0,0,0,0,0,0,8,231744.84,0,,63744.84,168000,1787174.92,3102654280,15
2022,Idaho,state,187,184,3,6,6,0,5,5,0,2,654423.23,93322.91,,561100.32,0,1099588.69,3330143462,10
2022,Illinois,state,379,345,34,39,29,10,37,31,6,11,10404221.10,1935190.97,,8125414.30,343615.83,8893073.65,26972593207,35
2022,Indiana,state,948,763,185,30,25,5,43,39,4,12,19487614.79,5914192.98,,8661667.67,4911754.14,7169412.99,17322051022,56
2022,Iowa,state,276,237,39,26,12,14,18,7,11,7,2426166.69,64050.10,,1976953.22,385163.37,857844.66,6776825856,9
2022,Kansas,state,303,215,88,32,20,12,21,15,6,6,1552535.01,47871.77,,1477702.02,26961.22,2306311.21,4551471796,19
2022,Kentucky,state,238,212,26,9,7,2,9,9,0,12,15408763,8265378.15,,5382095.09,1761289.76,4938246.76,14876634041,33
2022,Louisiana,state,471,356,115,59,35,24,81,55,26,10,86430507.25,4127034.84,,3728309.56,78575162.85,8422965.25,15039040891,67
2022,Maine,state,58,37,21,12,5,7,9,2,7,2,688592.08,472584.98,,206367.42,9639.68,1432530.56,3952360568,9
2022,Maryland,state,372,342,30,19,16,3,7,5,2,12,3953857.77,54572.23,,3398962.44,500323.10,4975497.52,14844102111,36
2022,Massachusetts,state,590,553,37,27,25,2,6,5,1,35,71275660.43,644522.83,,6258207.12,64372930.48,6119401.35,22023428461,32
2022,Michigan,state,500,428,72,12,6,6,16,7,9,21,22964705.78,1030764.48,,15333943.32,6599997.98,5863143,21695810626,30
2022,Minnesota,state,223,212,11,29,29,0,71,70,1,6,12560408.87,6827707.91,,1732700.96,4000000,4087300.47,16896991072,30
2022,Mississippi,state,585,138,447,67,11,56,84,11,73,6,4912243.23,230650.79,,4442181.01,239411.43,3952955,6141810881,38
2022,Missouri,state,305,263,42,6,5,1,14,14,0,10,5262577.44,2819237.72,,1637329.12,806010.60,2177784.64,13440321022,23
2022,Montana,state,91,81,10,4,4,0,5,4,1,5,566101.72,37083.48,,258272.32,270745.92,899696.95,2448226101,9
2022,Nebraska,state,92,65,27,3,2,1,6,5,1,6,1496685.90,68272.79,,975010.76,453402.35,1399477.09,3481296640,11
2022,Nevada,state,316,308,8,22,22,0,19,19,0,13,16422091.36,5134354,,5116089.02,6171648.34,2540574.85,5271042050,19
2022,New Hampshire,state,60,51,9,4,3,1,2,2,0,4,396472.42,5348.04,,390037.66,1086.72,738227.11,2611767747,8
2022,New Jersey,state,159,121,38,7,2,5,4,1,3,4,6260273,11420.01,,5813557.72,435295.27,5762424.96,21885952455,30
2022,New Mexico,state,242,239,3,1,1,0,2,1,1,14,3270639.11,261094.44,,2540391.41,469153.26,3291227.24,8545105920,22
2022,New York,state,681,551,130,8,8,0,18,13,5,29,57973971.31,4148905.33,,27742506.36,26082559.62,53919799.99,82564771704,264
2022,North Carolina,state,366,362,4,6,6,0,13,13,0,14,33859198.07,10510047.30,,14455555.92,8893594.85,6803332.04,19467101160,48
2022,North Dakota,state,61,46,15,1,1,0,1,0,1,5,490239.62,0,,32365.38,457874.24,808200,1621017419,6
2022,Ohio,state,1131,800,331,154,115,39,160,117,43,36,9342652.81,7950681.10,,266556.91,1125414.80,15964276.98,31059865818,101
2022,Oklahoma,state,337,247,90,33,20,13,25,10,15,4,6445538.50,1398867.89,,4383554.61,663116,2635281.53,7745616099,25
2022,Oregon,state,63,56,7,11,10,1,7,7,0,4,4464488.35,3845810.16,,618678.19,0,3369512.29,13695755260,17
2022,Pennsylvania,state,464,377,87,135,118,17,158,153,5,6,31625624.50,22661888.95,,8963735.55,0,10680852.14,42294925403,70
2022,Puerto Rico,territory,69,46,23,3,0,3,4,3,1,4,3726344.47,100698.96,,2018908.51,1606737,1145613.32,5199877706,17
2022,Rhode Island,state,125,108,17,6,1,5,2,2,0,7,922763.73,29071.75,,823691.12,70000.86,1323070.04,3583681400,10
2022,South Carolina,state,178,96,82,40,4,36,27,12,15,9,4990656.95,341943.52,,4572433.81,76279.62,1946229.43,7926296721,18
2022,South Dakota,state,72,64,8,1,0,1,1,0,1,9,707351.76,2116.55,,178215.65,527019.56,549756.32,1320070094,5
2022,Tennessee,state,214,172,42,38,25,13,28,17,11,13,5762200.85,1975511.18,,1634791.67,2151898,8376147.02,12083213396,57
2022,Texas,state,1454,1303,151,91,74,17,71,59,12,10,219876847.53,187477817.55,,16184468.56,16214561.42,23632974.75,56569079099,153
2022,U.S. Virgin Islands,territory,3,3,0,1,1,0,0,0,0,0,0,0,,0,0,479968.84,161334817,3
2022,Utah,state,120,78,42,18,12,6,23,12,11,6,1515408.01,302567.52,,210541.71,1002298.78,2706184,4397543014,15
2022,Vermont,state,77,25,52,10,3,7,3,2,1,2,503529,76701,,1828,425000,1335238.28,2049357500,7
2022,Virginia,state,325,323,2,22,20,2,23,23,0,13,20434349.64,13009550.83,,5873505.82,1551292.99,13250089.13,18262708315,93
2022,Washington,state,509,444,65,27,24,3,11,9,2,36,47833748.81,2575.50,,10188188.84,37642984.47,8985952.22,18213259692,56
2022,West Virginia,state,173,155,18,12,10,2,14,9,5,20,5138856.02,86301.14,,925348.07,4127206.81,2149481.35,5392745508,21
2022,Wisconsin,state,160,146,14,8,5,3,8,6,2,8,7218161,250984,,3491620,3475557,1672154.98,11953068255,11
2022,Wyoming,state,48,47,1,0,0,0,1,1,0,6,1136378.73,6822.36,,990029.98,139526.39,459792.59,743710195,4
2023,Alabama,state,22,17,5,5,2,3,3,0,3,0,10556172.07,9376847,,1053134.07,126191,1553830,8088717204,8
2023,Alaska,state,196,172,24,3,2,1,1,1,0,2,38520.95,3518.12,,29480.67,5522.16,2125299,2705978030,12
2023,Arizona,state,243,220,23,69,52,17,67,60,7,4,7343117.27,7039378.96,,303738.31,0,4875444,22499522881,30
2023,Arkansas,state,191,120,71,23,10,13,31,18,13,17,2618911.74,249390.08,,594004.44,1775517.22,3154983,9132921635,18
2023,California,state,1136,759,377,49,37,12,67,56,11,26,362823882.01,5804459.49,,2985358.20,354034064.32,66345930,130133324961,236
2023,Colorado,state,384,367,17,10,9,1,11,7,4,9,2907717.37,1555309.48,,1343907.89,8500,3354027,13646983776,22
2023,Connecticut,state,167,164,3,8,7,1,9,9,0,16,18520950.54,475279.73,,10296.56,18035374.25,2874704,10738157192,13
2023,Delaware,state,257,214,43,26,2,24,15,3,12,7,727526.77,544717.90,,148838.87,33970,2384008,3467165402,18
2023,District of Columbia,district,66,42,24,9,5,4,4,2,2,2,9591444.59,8066138.23,,26943.86,1498362.50,3309856,4317450659,22
2023,Florida,state,668,583,85,96,85,11,46,37,9,9,18323053.04,15603593.21,,999278.86,1720180.97,20493691,34841609995,145
2023,Georgia,state,398,389,9,7,6,1,7,6,1,14,20597671.59,696676.73,,482640.43,19418354.43,5651368,16608700777,44
2023,Hawaii,state,454,368,86,0,0,0,0,0,0,4,11084423.60,0,,34423.60,11050000,2074191,3106645531,16
2023,Idaho,state,187,183,4,5,4,1,6,6,0,0,261465.23,258050.61,,0,3414.62,1150784,2920524660,9
2023,Illinois,state,351,316,35,31,25,6,42,35,7,5,12455013.21,5726314.52,,3368698.69,3360000,6385839,33306700578,26
2023,Indiana,state,985,691,294,70,59,11,37,34,3,13,65930619.57,1555384.51,,473536.18,63901698.88,7997841,17819794934,59
2023,Iowa,state,285,238,47,26,9,17,20,12,8,4,1676464.53,135952.32,,61945.06,1478567.15,991331,6927817062,9
2023,Kansas,state,282,218,64,23,16,7,21,10,11,2,170106.34,158685.27,,7218.97,4202.10,2426237,5436508176,17
2023,Kentucky,state,239,208,31,25,16,9,11,5,6,13,21333957.41,2113847.51,,73565.56,19146544.34,4498011,16642070989,32
2023,Louisiana,state,472,356,116,50,25,25,30,18,12,8,15263524.40,8766788.87,,18864.53,6477871,9276078,16628861150,61
2023,Maine,state,61,32,29,10,1,9,7,4,3,2,206276.11,5685.76,,200590.35,0,1494775,4286591113,9
2023,Maryland,state,363,323,40,10,2,8,13,10,3,11,2086415.76,456911.73,,514885.28,1114618.75,5610088,17552005124,36
2023,Massachusetts,state,603,566,37,15,12,3,19,15,4,19,23375309.29,3710435.53,,760659.20,18904214.56,6164639,24487922260,37
2023,Michigan,state,511,430,81,18,11,7,11,7,4,16,29764369.11,19716567.80,,5067731.80,4980069.51,6113464,23741817895,34
2023,Minnesota,state,208,198,10,45,44,1,45,43,2,6,5973588.68,4402965.81,,79986.72,1490636.15,4454431,19113079015,30
2023,Mississippi,state,386,99,287,40,4,36,55,11,44,8,17842771.95,15749147.56,,17801.02,2075823.37,3992436,6547605903,34
2023,Missouri,state,325,272,53,52,50,2,23,20,3,10,10086586.17,1535188.15,,1397183.77,7154214.25,2421377,16357682592,19
2023,Montana,state,75,69,6,12,10,2,4,4,0,2,500294.40,197015.87,,3278.53,300000,988842,2445041437,9
2023,Nebraska,state,78,53,25,4,3,1,1,0,1,2,714102.99,4107,,45739.92,664256.07,1429798,3930854013,10
2023,Nevada,state,314,297,17,21,20,1,14,13,1,7,4429292.44,3742591,,191222.21,495479.23,2773153,5767822220,19
2023,New Hampshire,state,70,65,5,15,14,1,6,5,1,5,174612.14,8844.18,,78225.46,87542.50,921481,2592839761,8
2023,New Jersey,state,193,145,48,17,11,6,12,9,3,7,7795878.86,83438.48,,0,7712440.38,6575561,23332486706,29
2023,New Mexico,state,297,287,10,9,5,4,4,4,0,7,137461.88,7502.93,,129958.95,0,3229730,8472955496,24
2023,New York,state,556,482,74,9,5,4,8,7,1,28,73204517.97,650809.32,,228215.82,72325492.83,55964293,94601679054,257
2023,North Carolina,state,356,351,5,5,5,0,8,7,1,14,43626378.67,31548009.65,,355212.56,11723156.46,6924305,20451882615,47
2023,North Dakota,state,85,61,24,2,2,0,2,1,1,1,3340.63,2635,,705.63,0,968329,1613379327,7
2023,Ohio,state,1110,836,274,142,75,67,183,126,57,35,22607684.54,21871894.60,,26865.43,708924.51,15996716,32851727654,102
2023,Oklahoma,state,417,309,108,17,4,13,13,6,7,8,2951918.11,581724.91,,23006.08,2347187.12,3353370,8854437969,25
2023,Oregon,state,82,69,13,11,4,7,14,8,6,5,30309176.90,535677.84,,34010.63,29739488.43,4097000,15327891373,18
2023,Pennsylvania,state,578,461,117,97,84,13,61,52,9,3,20115260.32,8184259.98,,249107.34,11681893,11049587,44971355512,71
2023,Puerto Rico,territory,80,56,24,9,4,5,6,1,5,1,363639.61,63639.61,,0,300000,1203748,4015440619,17
2023,Rhode Island,state,134,113,21,8,0,8,4,1,3,2,232396.50,15690,,105920.30,110786.20,1202585,3685175562,10
2023,South Carolina,state,193,87,106,31,4,27,27,5,22,4,1298036.57,1195431.30,,89990.98,12614.29,2574832,8871688570,19
2023,South Dakota,state,69,44,25,0,0,0,1,0,1,3,250566.93,154302.35,,5189.86,91074.72,494659,1263615866,5
2023,Tennessee,state,209,171,38,32,26,6,31,21,10,16,42953624.32,10183798.82,,435893.98,32333931.52,9236731,13434201648,57
2023,Texas,state,1087,1003,84,77,70,7,60,55,5,12,283141068.88,68722279.60,,799994.22,213618795.06,24617759,58422862375,147
2023,U.S. Virgin Islands,territory,6,6,0,0,0,0,1,1,0,0,29539.03,29539.03,,0,0,441206,179692945,3
2023,Utah,state,131,87,44,21,5,16,20,10,10,6,2225121.55,341748.25,,13450.04,1869923.26,3250291,4728174660,19
2023,Vermont,state,94,36,58,6,4,2,8,3,5,5,177977,25822,,38988,113167,1473791,2174979993,9
2023,Virginia,state,302,299,3,33,29,4,24,21,3,10,14594631.85,9912494.66,,105014.41,4577122.78,14295387,21599145038,94
2023,Washington,state,502,462,40,24,21,3,13,12,1,8,2295369.58,1200,,367762.86,1926406.72,9859549,19498539690,55
2023,West Virginia,state,183,170,13,8,5,3,12,11,1,14,1311704.57,74377.31,,5196.58,1232130.68,2377529,5690158919,25
2023,Wisconsin,state,143,132,11,7,7,0,5,2,3,3,7139695,381518,,13632,6744545,1716499,12532534415,10
2023,Wyoming,state,49,43,6,0,0,0,0,0,0,1,604586.38,0,,0,604586.38,488861,777634001,4
2024,Alabama,state,36,25,11,3,3,0,0,0,0,7,482403.25,0,,482403.25,0,1637160.92,8402246395,7
2024,Alaska,state,188,168,20,13,13,0,3,3,0,2,239448.06,182384.29,,57063.77,0,1972546.71,2903998205,12
2024,Arizona,state,256,238,18,91,82,9,41,33,8,4,74611715.82,74442513.62,,159413.50,9788.70,5370868.91,20388207470,33
2024,Arkansas,state,186,128,58,24,16,8,35,17,18,15,3114222.64,385250.47,,213816.98,2515155.19,3973339.71,8313192411,22
2024,California,state,1089,724,365,52,32,20,48,40,8,17,583830457.43,512894076.50,,66178632.48,4757748.45,69208433.41,157098115172.10,270
2024,Colorado,state,293,280,13,3,3,0,1,1,0,14,3914483.34,1831.52,,3215813.72,696838.10,4317938.39,14674282245,25
2024,Connecticut,state,159,153,6,9,9,0,15,14,1,11,6463993.63,3806783.47,,50818.46,2606391.70,3025704.61,11295095591,13
2024,Delaware,state,256,220,36,14,4,10,14,4,10,5,10781129.38,21600.27,,36988.88,10722540.23,2715977.27,3340013477,18
2024,District of Columbia,district,68,55,13,15,11,4,10,6,4,1,18228183.85,18222788.01,,0,5395.84,3476776.44,4371805614,20
2024,Florida,state,677,580,97,65,55,10,58,48,10,17,76220595.13,69477756.13,,1739348.18,5003490.82,21343781.69,35906458788,141
2024,Georgia,state,428,416,12,7,4,3,6,3,3,20,86841410.54,732376.08,,38776079.54,47332954.92,6271433.71,15577343261,46
2024,Hawaii,state,481,374,107,0,0,0,0,0,0,1,10340.80,5720.95,,2759.74,1860.11,2339255.39,3235615999,13
2024,Idaho,state,188,186,2,1,1,0,3,3,0,3,1146717.23,350624.68,,796092.55,0,1120010.35,4050629368,8
2024,Illinois,state,467,300,167,21,17,4,38,38,0,10,1861477.76,543755.02,,899237.30,418485.44,6647049.38,33747393898,39
2024,Indiana,state,979,667,312,38,27,11,54,46,8,8,3292362.95,2807689.44,,180640.17,304033.34,8593822.37,20020602077,59
2024,Iowa,state,279,239,40,34,7,27,25,10,15,6,2216803.50,126642.11,,46158.39,2044003,1227190.24,8873891969,9
2024,Kansas,state,166,136,30,16,9,7,21,15,6,5,146967.66,67622.46,,70182.85,9162.35,2172864.38,5412711075,17
2024,Kentucky,state,242,210,32,21,8,13,18,14,4,16,30378269.67,14053195.75,,416759.78,15908314.14,4954230.16,18302226947,32
2024,Louisiana,state,529,398,131,48,27,21,41,22,19,7,63582815.76,53899712.94,,94653.45,9588449.37,8925148.60,17179873718,63
2024,Maine,state,58,35,23,8,4,4,7,1,6,4,236304.29,19129.95,,217174.34,0,1842715.21,4731878956,10
2024,Maryland,state,374,337,37,9,4,5,13,5,8,13,18897116.38,10669716.51,,5977185.60,2250214.27,6916159.79,18454924113,42
2024,Massachusetts,state,616,570,46,23,20,3,13,11,2,21,19795696.44,581270.49,,80668.29,19133757.66,7303491.39,26192755044,43
2024,Michigan,state,489,416,73,15,8,7,13,8,5,16,4767761.93,328485.43,,381434.95,4057841.55,7092157.03,25357658261,34
2024,Minnesota,state,220,208,12,58,58,0,36,36,0,5,16672513.15,1622205.53,,129068.14,14921239.48,4756833.33,19328609948,28
2024,Mississippi,state,370,105,265,23,7,16,33,5,28,6,9254549.72,6470913.48,,76563.76,2707072.48,4220119,7356967378,30
2024,Missouri,state,392,314,78,32,31,1,36,36,0,9,5148281.38,1048209.09,,290536.26,3809536.03,2496662.38,16445334330,22
2024,Montana,state,56,49,7,7,7,0,7,7,0,12,11539344.46,95288.06,,9535.88,11434520.52,1058040.95,2504417999,7
2024,Nebraska,state,83,53,30,7,5,2,4,2,2,9,1340795.98,601379.25,,45838.11,693578.62,1352423.27,3839619333,9
2024,Nevada,state,325,303,22,49,48,1,30,27,3,5,7108542.26,6853956.10,,71516.65,183069.51,3505034.41,6175562821,20
2024,New Hampshire,state,70,67,3,9,9,0,7,6,1,4,143541.83,114344.93,,26928.22,2268.68,1013239.97,2621947677,7
2024,New Jersey,state,159,128,31,9,8,1,21,13,8,8,9820191.73,6637205.55,,76198.02,3106788.16,7628776.09,24217228219,32
2024,New Mexico,state,353,322,31,5,1,4,2,2,0,10,88380.79,9067.44,,39871.35,39442,3666259.98,8490310931,25
2024,New York,state,510,436,74,10,9,1,19,17,2,40,59913804.73,25743.75,,292816.32,59595244.66,56650719.76,98177794119,262
2024,North Carolina,state,369,362,7,5,5,0,5,5,0,13,21021953.10,10031949.94,,276039.27,10713963.89,7219896.24,30213413903,51
2024,North Dakota,state,71,65,6,4,4,0,0,0,0,3,160714.78,0,,10714.78,150000,1191941.49,1526106243,9
2024,Ohio,state,1010,794,216,113,69,44,129,80,49,47,17106840.87,16036671.13,,295597.94,774571.80,16932095.93,35202561948,105
2024,Oklahoma,state,442,325,117,5,2,3,15,4,11,5,711120.86,289195.73,,75263.39,346661.74,4286464.69,9324676370,26
2024,Oregon,state,92,79,13,17,12,5,14,10,4,7,5199568.59,2262470,,71644.82,2865453.77,4521535.90,16993042692,19
2024,Pennsylvania,state,720,592,128,119,113,6,74,66,8,6,11325616,11037022.85,,257591.94,31001.21,12865019.20,44432259542,75
2024,Puerto Rico,territory,73,53,20,6,3,3,7,3,4,5,1446349.09,144860.19,,0,1301488.90,1235908.33,4892795357,15
2024,Rhode Island,state,134,109,25,17,8,9,2,0,2,4,168007.41,0,,155349.13,12658.28,1244089.90,3724826196,9
2024,South Carolina,state,181,70,111,23,5,18,40,12,28,8,11869014.35,10940929.45,,224412.66,703672.24,2840646.47,10239545186,20
2024,South Dakota,state,145,60,85,10,3,7,8,3,5,9,1056789.29,421897.02,,27014.57,607877.70,818693.89,1600448228,9
2024,Tennessee,state,209,165,44,40,25,15,26,15,11,9,26749052.33,5245923.26,,122439.12,21380689.95,10819400.48,14345332011,58
2024,Texas,state,723,685,38,133,98,35,78,70,8,5,111800768.86,109156332.27,,1676684.15,967752.44,25118839.16,49398376058,150
2024,U.S. Virgin Islands,territory,15,15,0,0,0,0,1,1,0,1,235084.61,2739.28,,232345.33,0,444686.24,138552427,4
2024,Utah,state,144,102,42,16,5,11,17,2,15,5,3995367.62,912485.08,,43254.45,3039628.09,4047287,5104329509,19
2024,Vermont,state,95,44,51,16,11,5,18,13,5,3,583668,115552,,8926,459190,1699488,2336362561,9
2024,Virginia,state,299,297,2,47,46,1,16,15,1,8,4796455.09,3532257.28,,225303.05,1038894.76,15296222.88,22354412784,92
2024,Washington,state,499,473,26,13,12,1,19,17,2,6,4244633.49,3025827.92,,1124568.83,94236.74,11567318.09,21318488278,57
2024,West Virginia,state,214,201,13,4,3,1,5,4,1,10,12505242.43,976335.24,,799988.51,10728918.68,2449268.84,5110871376,23
2024,Wisconsin,state,154,142,12,3,2,1,5,4,1,3,236162,112807,,123355,0,1884029.35,12770801034,11
2024,Wyoming,state,57,55,2,0,0,0,0,0,0,5,767643.97,0,,43930.76,723713.21,543642.58,830736672,4
2025,Alabama,state,38,28,10,5,5,0,6,6,0,4,2931852.82,2234237.67,,697615.15,0,1529686,8374093705,7
2025,Alaska,state,103,76,27,17,17,0,8,8,0,4,1188457.61,1015233.51,,138610.26,34613.84,1922364,3243857563,12
2025,Arizona,state,150,121,29,70,66,4,51,43,8,7,49346658.50,47181569.49,,2096368.10,68720.91,5933688,22057222999,31
2025,Arkansas,state,257,163,94,43,23,20,29,19,10,26,3548244.54,1311437.02,,223496.65,2013310.87,3927409,8916484909,23
2025,California,state,1052,786,266,83,56,27,43,33,10,25,102126213.24,70890260.71,,7384463.75,23851488.78,74421308,173402740079,290
2025,Colorado,state,301,282,19,2,0,2,4,2,2,18,57952277.93,192306.51,,57367862.96,392108.46,4714737,16491671590,24
2025,Connecticut,state,166,159,7,10,10,0,6,6,0,10,6863359.18,2776573.26,,1852199.39,2234586.53,2913997,11700323441,13
2025,Delaware,state,241,204,37,11,3,8,14,4,10,5,619300.30,72019.93,,500211.63,47068.74,2784035,3400556094,17
2025,District of Columbia,district,64,54,10,5,3,2,6,2,4,3,289914.83,214684.97,,75229.86,0,3099067,4294051819,19
2025,Florida,state,652,546,106,47,35,12,82,68,14,17,107607791.86,96888297.84,,9975061.07,744432.95,22670000,39343020827,137
2025,Georgia,state,451,438,13,9,8,1,8,6,2,22,46517386.12,935196.30,,4125710.22,41456479.60,6452683,19692323128,43
2025,Hawaii,state,484,388,96,0,0,0,0,0,0,11,453950.81,0,,366662.96,87287.85,2723324,3179232183,14
2025,Idaho,state,145,143,2,5,5,0,2,2,0,8,900756.39,6251.75,,532928.13,361576.51,1293821,4166928923,10
2025,Illinois,state,452,276,176,30,27,3,21,20,1,19,18234544.79,2459775.36,,5547341.49,10227427.94,10402644,36162720636,46
