fiscal_year,jurisdiction,has_observed_data,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2016,Virginia,yes,8927198595,11445452.13,33889092.92,92
2016,Washington,yes,11458035943,4534668,55306210.80,36
2016,West Virginia,yes,3813616346,1257636.87,5271731.59,16
2016,Wisconsin,yes,8026421926,1342631.19,81071820,12
2016,Wyoming,yes,637273743,493573.76,1435972.75,4
2017,Alabama,yes,5799830460,1256505.53,1105393.94,9
2017,Alaska,yes,2083665781,1524623.56,179177.22,12
2017,Arizona,yes,12100681031,3308088.23,13369938.39,23
2017,Arkansas,yes,6763173651,2233870.84,2849935.82,21
2017,California,yes,88664592580,39075822.72,97582606.56,206
2017,Colorado,yes,8186563706,2281978.63,1874893.87,16
2017,Connecticut,yes,7820846438,2257034.87,13978321.84,11
2017,Delaware,yes,2260921363,2059328.02,2506020.26,18
2017,Florida,yes,23922618501,17456833.20,95012845.05,158
2017,Georgia,yes,10651082478,5024484.08,529713373.45,45
2017,Hawaii,yes,2447902930,1694351.30,1665860.87,15
2017,Idaho,yes,1929225434,801511.63,1819661.11,8
2017,Illinois,yes,16064148838,7816290.06,27819728.22,45
2017,Indiana,yes,11640235955,6529209.25,24167626.40,54
2017,Iowa,yes,4241347370,1083914.97,4794433.63,8
2017,Kansas,yes,3428196561,1447929.27,2461977.64,15
2017,Kentucky,yes,9781447988,3509043.22,25473342.02,30
2017,Louisiana,yes,11254127721,7179440,16825151,67
2017,Maine,yes,2734525913,906905.77,3171102.01,9
2017,Maryland,yes,11610123766,4373661.43,4552786.48,35
2017,Massachusetts,yes,18147855201,5649679,10154847.57,41
2017,Michigan,yes,17365499168,3725402.01,7171551.74,31
2017,Minnesota,yes,12081776986,2702822.24,6930718.88,28
2017,Mississippi,yes,5677039303,3268870,9405719.67,36
2017,Missouri,yes,10527739876,2351268.54,25613919.37,24
2017,Montana,yes,1866570114,824173.52,532900.66,8
2017,Nebraska,yes,2164504143,989888.17,2091963.56,10
2017,Nevada,yes,3716635489,2127046.84,4002525.90,17
2017,New Hampshire,yes,2163399761,761236.54,738734.37,7
2017,New Jersey,yes,15565737636,3966531.98,6862005.44,30
2017,New Mexico,yes,5020119695,2681855.90,1712900.35,23
2017,New York,yes,78563137293,49583121.29,132095792.05,299
2017,North Carolina,yes,14011600177,6084052.12,30577962.91,49
2017,North Dakota,no,,,,
2017,Ohio,yes,23988555231,12111876.29,25805602.45,95
2017,Oklahoma,yes,4839553798,2265247,4140006.88,28
2017,Oregon,yes,8826395049,2543190.40,8143439.04,15
2017,Pennsylvania,yes,29083711619,8293636.06,13767733.34,62
2017,Rhode Island,yes,2786350493,1391749.12,603039.66,12
2017,South Carolina,yes,6268421251,1554841.92,13229597.47,15
2017,South Dakota,yes,902719239,437121.41,180720.08,4
2017,Tennessee,yes,9661478672,4739840.68,18270732.06,38
2017,Texas,yes,37152558007,21751951.87,534055130.52,164
2017,Utah,yes,2589750289,2073402.81,934994,13
2017,Vermont,yes,1742676601,1009972.30,7264139,8
2017,Virginia,yes,9458031224,10960875.43,30422785.13,91
2017,Washington,yes,12606903927,4787022,2885264.30,37
2017,West Virginia,yes,4157807522,1159292.12,5769428.26,11
2017,Wisconsin,yes,8503112507,1481973.82,24336396,13
2017,Wyoming,yes,648699099,467505.59,614032.90,4
2018,Alabama,yes,5768025506,1315157.44,7827694.49,10
2018,Alaska,yes,2196000353,1737871.62,2703915.69,12
2018,Arizona,yes,12406620828,3482650.06,11973830.19,27
2018,Arkansas,yes,6709044022,2377754.21,6639874.10,21
2018,California,yes,88895768297,44507337.13,15373634.78,205
2018,Colorado,yes,9337178911,2373031.08,6797290.86,15
2018,Connecticut,yes,8570841507,2246843.21,6497861.34,12
2018,Delaware,yes,2327046971,2059739.24,2373578.61,17
2018,Florida,yes,23747162235,18661080.55,69215336.58,151
2018,Georgia,yes,11398504876,4810189.63,27184014.74,44
2018,Hawaii,yes,2311151261,2168237.35,754357.33,16
2018,Idaho,yes,2024439472,928206.19,370510.31,9
2018,Illinois,yes,23112241735,7815423.84,6429593.76,42
2018,Indiana,yes,11796378211,6639937.69,22936756.77,58
2018,Iowa,yes,4992488405,1066129.74,4752976.80,9
2018,Kansas,yes,3603034923,1634665.60,282381.02,15
2018,Kentucky,yes,10114058416,3495480.05,31611155.07,29
2018,Louisiana,yes,11222709411,7303057.48,11019438.89,67
2018,Maine,yes,2841007872,1076956.27,1647681.86,9
2018,Maryland,yes,11867520808,4344751.29,15508772.66,34
2018,Massachusetts,yes,18699858030,5810593,44691804.78,42
2018,Michigan,yes,17085638296,5114490.51,24596798.97,30
2018,Minnesota,yes,13130373020,2863917.13,8428634,26
2018,Mississippi,yes,5443612233,3526284,12104380.88,34
2018,Missouri,yes,10709689095,2305744.16,2965595.25,22
2018,Montana,yes,1920831782,825481.33,1252900.04,8
2018,Nebraska,yes,2234101910,1046918.22,2803669.33,10
2018,Nevada,yes,4127315581,2003056.21,5485042.47,16
2018,New Hampshire,yes,2273337486,775114.55,1017724.86,8
2018,New Jersey,yes,15706565267,3722721.43,24011340.94,26
2018,New Mexico,yes,5332964484,2513182.99,3941930.24,21
2018,New York,yes,75262657182,54691330.84,61709155.97,304
2018,North Carolina,yes,14060675775,5588968.81,38494795.76,41
2018,North Dakota,no,,,,
2018,Ohio,yes,22694958437,12274547.42,32404737.51,97
2018,Oklahoma,yes,4659329936,2465829,8727496.88,26
2018,Oregon,yes,9382904731,2934088.93,891325.78,17
2018,Pennsylvania,yes,30758314287,9107567.31,22306796.60,58
2018,Rhode Island,yes,2783542978,1373714.09,3408544.88,11
2018,South Carolina,yes,6357022896,1362868.85,16455698.04,16
2018,South Dakota,yes,913990729,420013.67,1125284.65,5
2018,Tennessee,yes,10301164426,4968913.62,50942916.91,38
2018,Texas,yes,38962764740,22894422.83,182511442.36,172
2018,Utah,yes,2578963871,2092903,982072,13
2018,Vermont,yes,1769804444,1043428.68,2431252,9
2018,Virginia,yes,9934971320,11525763.60,14112278.09,86
2018,Washington,yes,12827331385,5205464,12343705.27,36
2018,West Virginia,yes,3996923158,1006092.06,1913941.59,13
2018,Wisconsin,yes,9180255127,1484562.53,12568848,13
2018,Wyoming,yes,669181828,457082.35,2909976.80,4
2019,Alabama,yes,6096457566,1392417.67,8229347.97,10
2019,Alaska,yes,2243669019,1671222.64,2609761,12
2019,Arizona,yes,13482090704,3949181.56,7541097.83,27
2019,Arkansas,yes,7243622415,2676551.20,5335184.54,22
2019,California,yes,94100410374,44861807.10,54573806.52,199
2019,Colorado,yes,9526143614,2166337.93,22837463.33,16
2019,Connecticut,yes,8530550005,2418252.52,8561937.22,13
2019,Delaware,yes,2346881663,2197955.92,6749580.93,17
2019,Florida,yes,25128795104,17734741.21,81248447.63,149
2019,Georgia,yes,11430130311,4797058.25,13086030.78,40
2019,Hawaii,yes,2280727854,2181841.50,4523470.09,16
2019,Idaho,yes,2266387357,927043.10,1983968.24,9
2019,Illinois,yes,19359536579,8004722.08,146283349.91,44
2019,Indiana,yes,12994381229,7642679.59,16417013.84,58
2019,Iowa,yes,5352358555,1224729.09,3527889.70,8
2019,Kansas,yes,3799701074,1584083.66,4756685.96,16
2019,Kentucky,yes,10510327124,3536582.60,26333549.02,30
2019,Louisiana,yes,12047327141,7627551.14,17967360.29,64
2019,Maine,yes,3018999938,1176066.15,207565.36,9
