fiscal_year,jurisdiction,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2015,Wyoming,621092843,475173.63,44447.95,4
2016,Alabama,5657488854,1379110.89,17034540.56,8
2016,Alaska,1929110081,1394058.06,3093089.09,10
2016,Arizona,11343767402,2770174.03,10525171.97,21
2016,Arkansas,6337245143,2437991.92,9266817.08,16
2016,California,86608583280,32469156.35,136201028.20,185
2016,Colorado,8289970721,2178699.12,14617469.88,14
2016,Connecticut,7790671895,2135726.26,20786362.71,11
2016,Delaware,2003364878,1989706.11,2012899.57,16
2016,Florida,22457578621,17316568.43,165545717.54,156
2016,Georgia,10283904205,4719262.26,31571209.76,44
2016,Hawaii,2271886352,1622502.28,1856104.14,14
2016,Idaho,1794759439,833297.08,2655165.53,7
2016,Illinois,20172293337,7137131.01,35478915.47,41
2016,Indiana,10901014576,6484688.25,36928400.57,58
2016,Iowa,4914249752,1133997.38,10656073.36,10
2016,Kansas,3421881490,1337183.28,9274992.24,14
2016,Kentucky,9893628407,3415841.87,47635512.82,30
2016,Louisiana,8837228184,5710826.44,40374660,54
2016,Maine,2636443851,910641.36,24387068.48,8
2016,Maryland,10819233860,3843664.37,10396358.71,33
2016,Massachusetts,17865505404,5394276,82844081.63,40
2016,Michigan,17438676650,5053298.80,32312718.31,32
2016,Minnesota,11544958884,2367286.76,26129644.93,24
2016,Mississippi,5563413438,3406068,19821843.83,35
2016,Missouri,10201941673,2215565.57,13494876.21,24
2016,Montana,1446698958,679021.03,1593763.19,6
2016,Nebraska,2092993865,934566.63,19443143.22,9
2016,Nevada,3520421319,2093049.97,2389470.66,19
2016,New Hampshire,2076589333,770510.46,2058998.72,8
2016,New Jersey,15080356828,3899420.07,47320817.76,35
2016,New Mexico,5537037048,2190670.51,6205202.93,21
2016,New York,62909519309,47018833,228866107.30,298
2016,North Carolina,12821165394,5944944.05,80416129.29,51
2016,Ohio,22485693773,11278342.59,64010493.16,94
2016,Oklahoma,4698727448,2433433.77,21469406.63,23
2016,Oregon,8814205907,2380639.14,10312943.89,16
2016,Pennsylvania,28220307793,7415937.35,42140799.87,46
2016,Rhode Island,2626681914,1326222.62,6373535.32,12
2016,South Carolina,6230510941,1704531.45,16495835.27,16
2016,South Dakota,875472076,438342.80,2319912.26,5
2016,Tennessee,9928469426,4828604.12,105835520.75,36
2016,Texas,41068187142,18832569.54,128257249.23,165
2016,Utah,2251931573,2056784.58,10033408,13
2016,Vermont,1768236337,928834.98,7907487,7
2016,Virginia,8927198595,11445452.13,33889092.92,92
2016,Washington,11458035943,4534668,55306210.80,36
2016,West Virginia,3813616346,1257636.87,5271731.59,16
2016,Wisconsin,8026421926,1342631.19,81071820,12
2016,Wyoming,637273743,493573.76,1435972.75,4
2017,Alabama,5799830460,1256505.53,1105393.94,9
2017,Alaska,2083665781,1524623.56,179177.22,12
2017,Arizona,12100681031,3308088.23,13369938.39,23
2017,Arkansas,6763173651,2233870.84,2849935.82,21
2017,California,88664592580,39075822.72,97582606.56,206
2017,Colorado,8186563706,2281978.63,1874893.87,16
2017,Connecticut,7820846438,2257034.87,13978321.84,11
2017,Delaware,2260921363,2059328.02,2506020.26,18
2017,Florida,23922618501,17456833.20,95012845.05,158
2017,Georgia,10651082478,5024484.08,529713373.45,45
2017,Hawaii,2447902930,1694351.30,1665860.87,15
2017,Idaho,1929225434,801511.63,1819661.11,8
2017,Illinois,16064148838,7816290.06,27819728.22,45
2017,Indiana,11640235955,6529209.25,24167626.40,54
2017,Iowa,4241347370,1083914.97,4794433.63,8
2017,Kansas,3428196561,1447929.27,2461977.64,15
2017,Kentucky,9781447988,3509043.22,25473342.02,30
2017,Louisiana,11254127721,7179440,16825151,67
2017,Maine,2734525913,906905.77,3171102.01,9
2017,Maryland,11610123766,4373661.43,4552786.48,35
2017,Massachusetts,18147855201,5649679,10154847.57,41
2017,Michigan,17365499168,3725402.01,7171551.74,31
2017,Minnesota,12081776986,2702822.24,6930718.88,28
2017,Mississippi,5677039303,3268870,9405719.67,36
2017,Missouri,10527739876,2351268.54,25613919.37,24
2017,Montana,1866570114,824173.52,532900.66,8
2017,Nebraska,2164504143,989888.17,2091963.56,10
2017,Nevada,3716635489,2127046.84,4002525.90,17
2017,New Hampshire,2163399761,761236.54,738734.37,7
2017,New Jersey,15565737636,3966531.98,6862005.44,30
2017,New Mexico,5020119695,2681855.90,1712900.35,23
2017,New York,78563137293,49583121.29,132095792.05,299
2017,North Carolina,14011600177,6084052.12,30577962.91,49
2017,Ohio,23988555231,12111876.29,25805602.45,95
2017,Oklahoma,4839553798,2265247,4140006.88,28
2017,Oregon,8826395049,2543190.40,8143439.04,15
2017,Pennsylvania,29083711619,8293636.06,13767733.34,62
2017,Rhode Island,2786350493,1391749.12,603039.66,12
2017,South Carolina,6268421251,1554841.92,13229597.47,15
2017,South Dakota,902719239,437121.41,180720.08,4
2017,Tennessee,9661478672,4739840.68,18270732.06,38
2017,Texas,37152558007,21751951.87,534055130.52,164
2017,Utah,2589750289,2073402.81,934994,13
2017,Vermont,1742676601,1009972.30,7264139,8
2017,Virginia,9458031224,10960875.43,30422785.13,91
2017,Washington,12606903927,4787022,2885264.30,37
2017,West Virginia,4157807522,1159292.12,5769428.26,11
2017,Wisconsin,8503112507,1481973.82,24336396,13
2017,Wyoming,648699099,467505.59,614032.90,4
2018,Alabama,5768025506,1315157.44,7827694.49,10
2018,Alaska,2196000353,1737871.62,2703915.69,12
2018,Arizona,12406620828,3482650.06,11973830.19,27
2018,Arkansas,6709044022,2377754.21,6639874.10,21
2018,California,88895768297,44507337.13,15373634.78,205
2018,Colorado,9337178911,2373031.08,6797290.86,15
2018,Connecticut,8570841507,2246843.21,6497861.34,12
2018,Delaware,2327046971,2059739.24,2373578.61,17
2018,Florida,23747162235,18661080.55,69215336.58,151
2018,Georgia,11398504876,4810189.63,27184014.74,44
2018,Hawaii,2311151261,2168237.35,754357.33,16
2018,Idaho,2024439472,928206.19,370510.31,9
2018,Illinois,23112241735,7815423.84,6429593.76,42
2018,Indiana,11796378211,6639937.69,22936756.77,58
2018,Iowa,4992488405,1066129.74,4752976.80,9
2018,Kansas,3603034923,1634665.60,282381.02,15
2018,Kentucky,10114058416,3495480.05,31611155.07,29
2018,Louisiana,11222709411,7303057.48,11019438.89,67
2018,Maine,2841007872,1076956.27,1647681.86,9
2018,Maryland,11867520808,4344751.29,15508772.66,34
2018,Massachusetts,18699858030,5810593,44691804.78,42
2018,Michigan,17085638296,5114490.51,24596798.97,30
2018,Minnesota,13130373020,2863917.13,8428634,26
2018,Mississippi,5443612233,3526284,12104380.88,34
2018,Missouri,10709689095,2305744.16,2965595.25,22
2018,Montana,1920831782,825481.33,1252900.04,8
2018,Nebraska,2234101910,1046918.22,2803669.33,10
2018,Nevada,4127315581,2003056.21,5485042.47,16
2018,New Hampshire,2273337486,775114.55,1017724.86,8
2018,New Jersey,15706565267,3722721.43,24011340.94,26
2018,New Mexico,5332964484,2513182.99,3941930.24,21
2018,New York,75262657182,54691330.84,61709155.97,304
2018,North Carolina,14060675775,5588968.81,38494795.76,41
2018,Ohio,22694958437,12274547.42,32404737.51,97
2018,Oklahoma,4659329936,2465829,8727496.88,26
2018,Oregon,9382904731,2934088.93,891325.78,17
2018,Pennsylvania,30758314287,9107567.31,22306796.60,58
2018,Rhode Island,2783542978,1373714.09,3408544.88,11
2018,South Carolina,6357022896,1362868.85,16455698.04,16
2018,South Dakota,913990729,420013.67,1125284.65,5
2018,Tennessee,10301164426,4968913.62,50942916.91,38
2018,Texas,38962764740,22894422.83,182511442.36,172
2018,Utah,2578963871,2092903,982072,13
2018,Vermont,1769804444,1043428.68,2431252,9
2018,Virginia,9934971320,11525763.60,14112278.09,86
2018,Washington,12827331385,5205464,12343705.27,36
2018,West Virginia,3996923158,1006092.06,1913941.59,13
2018,Wisconsin,9180255127,1484562.53,12568848,13
2018,Wyoming,669181828,457082.35,2909976.80,4
2019,Alabama,6096457566,1392417.67,8229347.97,10
